carriageway_label,speed_limit,speed_differential,Speed_management,number_of_lanes,lane_width,quality_of_curve,median_type,skid_resistance,road_condition,vehicle_parking,roadworks,delineation,street_lighting,service_road,shoulder_rumble_strips,center_line_rumble_strips,paved_shoulder,intersection_type,intersection_quality,intersection_channelization,property_access_points,land_use,area_type,pedestrian_crossing_facilities,pedestrian_crossing_quality,pedestrian_fencing,sidewalk_provision,facilities_for_motorcycles,facilities_for_bicycles,school_zone_warning,school_zone_crossing_supervisor
['<ANSWER>1</ANSWER>'],['<ANSWER>11</ANSWER>'],['<ANSWER>1</ANSWER>'],['<ANSWER>1</ANSWER>'],['<ANSWER>2</ANSWER>'],['<ANSWER>2</ANSWER>'],['<ANSWER>3</ANSWER>'],['<ANSWER>14</ANSWER>'],['<ANSWER>1</ANSWER>'],['<ANSWER>1</ANSWER>'],['<ANSWER>3</ANSWER>'],['<ANSWER>1</ANSWER>'],['<ANSWER>1</ANSWER>'],['<ANSWER>2</ANSWER>'],['<ANSWER>2</ANSWER>'],['<ANSWER>1</ANSWER>'],['<ANSWER>1</ANSWER>'],['<ANSWER>3</ANSWER>'],['<ANSWER>12</ANSWER>'],['<ANSWER>1</ANSWER>'],['<ANSWER>1</ANSWER>'],['<ANSWER>2</ANSWER>'],['<ANSWER>3</ANSWER>'],['<ANSWER>2</ANSWER>'],['<ANSWER>7</ANSWER>'],['<ANSWER>3</ANSWER>'],['<ANSWER>2</ANSWER>'],['<ANSWER>5</ANSWER>'],['<ANSWER>6</ANSWER>'],['<ANSWER>4</ANSWER>'],['<ANSWER>3</ANSWER>'],['<ANSWER>2</ANSWER>']
['<ANSWER>1</ANSWER>'],['<ANSWER>11</ANSWER>'],['<ANSWER>1</ANSWER>'],['<ANSWER>1</ANSWER>'],['<ANSWER>4</ANSWER>'],['<ANSWER>1</ANSWER>'],['<ANSWER>1</ANSWER>'],['<ANSWER>14</ANSWER>'],['<ANSWER>1</ANSWER>'],['<ANSWER>1</ANSWER>'],['<ANSWER>3</ANSWER>'],['<ANSWER>1</ANSWER>'],['<ANSWER>1</ANSWER>'],['<ANSWER>2</ANSWER>'],['<ANSWER>2</ANSWER>'],['<ANSWER>2</ANSWER>'],['<ANSWER>2</ANSWER>'],['<ANSWER>2</ANSWER>'],['<ANSWER>10</ANSWER>'],['<ANSWER>1</ANSWER>'],['<ANSWER>2</ANSWER>'],['<ANSWER>1</ANSWER>'],['<ANSWER>3</ANSWER>'],['<ANSWER>2</ANSWER>'],['<ANSWER>7</ANSWER>'],['<ANSWER>2</ANSWER>'],['<ANSWER>2</ANSWER>'],['<ANSWER>5</ANSWER>'],['<ANSWER>6</ANSWER>'],['<ANSWER>4</ANSWER>'],['<ANSWER>2</ANSWER>'],['<ANSWER>2</ANSWER>']
['<ANSWER>3</ANSWER>'],['<ANSWER>11</ANSWER>'],['<ANSWER>1</ANSWER>'],['<ANSWER>1</ANSWER>'],['<ANSWER>2</ANSWER>'],['<ANSWER>2</ANSWER>'],['<ANSWER>3</ANSWER>'],['<ANSWER>14</ANSWER>'],['<ANSWER>1</ANSWER>'],['<ANSWER>1</ANSWER>'],['<ANSWER>2</ANSWER>'],['<ANSWER>1</ANSWER>'],['<ANSWER>1</ANSWER>'],['<ANSWER>2</ANSWER>'],['<ANSWER>2</ANSWER>'],['<ANSWER>2</ANSWER>'],['<ANSWER>2</ANSWER>'],['<ANSWER>3</ANSWER>'],['<ANSWER>12</ANSWER>'],['<ANSWER>1</ANSWER>'],['<ANSWER>1</ANSWER>'],['<ANSWER>1</ANSWER>'],['<ANSWER>3</ANSWER>'],['<ANSWER>2</ANSWER>'],['<ANSWER>7</ANSWER>'],['<ANSWER>3</ANSWER>'],['<ANSWER>2</ANSWER>'],['<ANSWER>2</ANSWER>'],['<ANSWER>6</ANSWER>'],['<ANSWER>4</ANSWER>'],['<ANSWER>3</ANSWER>'],['<ANSWER>2</ANSWER>']
['<ANSWER>3</ANSWER>'],['<ANSWER>5</ANSWER>'],['<ANSWER>1</ANSWER>'],['<ANSWER>1</ANSWER>'],['<ANSWER>2</ANSWER>'],['<ANSWER>2</ANSWER>'],['<ANSWER>3</ANSWER>'],['<ANSWER>14</ANSWER>'],['<ANSWER>1</ANSWER>'],['<ANSWER>1</ANSWER>'],['<ANSWER>2</ANSWER>'],['<ANSWER>2</ANSWER>'],['<ANSWER>1</ANSWER>'],['<ANSWER>2</ANSWER>'],['<ANSWER>2</ANSWER>'],['<ANSWER>1</ANSWER>'],['<ANSWER>1</ANSWER>'],['<ANSWER>3</ANSWER>'],['<ANSWER>12</ANSWER>'],['<ANSWER>1</ANSWER>'],['<ANSWER>1</ANSWER>'],['<ANSWER>2</ANSWER>'],['<ANSWER>3</ANSWER>'],['<ANSWER>2</ANSWER>'],['<ANSWER>5</ANSWER>'],['<ANSWER>2</ANSWER>'],['<ANSWER>2</ANSWER>'],['<ANSWER>5</ANSWER>'],['<ANSWER>6</ANSWER>'],['<ANSWER>4</ANSWER>'],['<ANSWER>2</ANSWER>'],['<ANSWER>1</ANSWER>']
['<ANSWER>3</ANSWER>'],['<ANSWER>11</ANSWER>'],['<ANSWER>1</ANSWER>'],['<ANSWER>1</ANSWER>'],['<ANSWER>2</ANSWER>'],['<ANSWER>2</ANSWER>'],['<ANSWER>3</ANSWER>'],['<ANSWER>14</ANSWER>'],['<ANSWER>1</ANSWER>'],['<ANSWER>1</ANSWER>'],['<ANSWER>3</ANSWER>'],['<ANSWER>1</ANSWER>'],['<ANSWER>1</ANSWER>'],['<ANSWER>2</ANSWER>'],['<ANSWER>2</ANSWER>'],['<ANSWER>1</ANSWER>'],['<ANSWER>1</ANSWER>'],['<ANSWER>3</ANSWER>'],['<ANSWER>12</ANSWER>'],['<ANSWER>1</ANSWER>'],['<ANSWER>1</ANSWER>'],['<ANSWER>2</ANSWER>'],['<ANSWER>3</ANSWER>'],['<ANSWER>2</ANSWER>'],['<ANSWER>5</ANSWER>'],['<ANSWER>2</ANSWER>'],['<ANSWER>2</ANSWER>'],['<ANSWER>2</ANSWER>'],['<ANSWER>6</ANSWER>'],['<ANSWER>4</ANSWER>'],['<ANSWER>2</ANSWER>'],['<ANSWER>2</ANSWER>']
['<ANSWER>3</ANSWER>'],['<ANSWER>5</ANSWER>'],['<ANSWER>2</ANSWER>'],['<ANSWER>2</ANSWER>'],['<ANSWER>2</ANSWER>'],['<ANSWER>2</ANSWER>'],['<ANSWER>3</ANSWER>'],['<ANSWER>14</ANSWER>'],['<ANSWER>1</ANSWER>'],['<ANSWER>1</ANSWER>'],['<ANSWER>3</ANSWER>'],['<ANSWER>1</ANSWER>'],['<ANSWER>1</ANSWER>'],['<ANSWER>2</ANSWER>'],['<ANSWER>2</ANSWER>'],['<ANSWER>1</ANSWER>'],['<ANSWER>2</ANSWER>'],['<ANSWER>3</ANSWER>'],['<ANSWER>10</ANSWER>'],['<ANSWER>1</ANSWER>'],['<ANSWER>1</ANSWER>'],['<ANSWER>2</ANSWER>'],['<ANSWER>3</ANSWER>'],['<ANSWER>2</ANSWER>'],['<ANSWER>15</ANSWER>'],['<ANSWER>2</ANSWER>'],['<ANSWER>1</ANSWER>'],['<ANSWER>6</ANSWER>'],['<ANSWER>6</ANSWER>'],['<ANSWER>4</ANSWER>'],['<ANSWER>2</ANSWER>'],['<ANSWER>1</ANSWER>']
['<ANSWER>3</ANSWER>'],['<ANSWER>11</ANSWER>'],['<ANSWER>1</ANSWER>'],['<ANSWER>1</ANSWER>'],['<ANSWER>2</ANSWER>'],['<ANSWER>1</ANSWER>'],['<ANSWER>3</ANSWER>'],['<ANSWER>14</ANSWER>'],['<ANSWER>1</ANSWER>'],['<ANSWER>1</ANSWER>'],['<ANSWER>3</ANSWER>'],['<ANSWER>1</ANSWER>'],['<ANSWER>1</ANSWER>'],['<ANSWER>2</ANSWER>'],['<ANSWER>2</ANSWER>'],['<ANSWER>1</ANSWER>'],['<ANSWER>1</ANSWER>'],['<ANSWER>3</ANSWER>'],['<ANSWER>10</ANSWER>'],['<ANSWER>1</ANSWER>'],['<ANSWER>1</ANSWER>'],['<ANSWER>1</ANSWER>'],['<ANSWER>3</ANSWER>'],['<ANSWER>2</ANSWER>'],['<ANSWER>5</ANSWER>'],['<ANSWER>1</ANSWER>'],['<ANSWER>1</ANSWER>'],['<ANSWER>5</ANSWER>'],['<ANSWER>6</ANSWER>'],['<ANSWER>4</ANSWER>'],['<ANSWER>3</ANSWER>'],['<ANSWER>2</ANSWER>']
['<ANSWER>1</ANSWER>'],['<ANSWER>15</ANSWER>'],['<ANSWER>1</ANSWER>'],['<ANSWER>1</ANSWER>'],['<ANSWER>2</ANSWER>'],['<ANSWER>2</ANSWER>'],['<ANSWER>3</ANSWER>'],['<ANSWER>15</ANSWER>'],['<ANSWER>2</ANSWER>'],['<ANSWER>2</ANSWER>'],['<ANSWER>3</ANSWER>'],['<ANSWER>2</ANSWER>'],['<ANSWER>1</ANSWER>'],['<ANSWER>2</ANSWER>'],['<ANSWER>2</ANSWER>'],['<ANSWER>1</ANSWER>'],['<ANSWER>1</ANSWER>'],['<ANSWER>4</ANSWER>'],['<ANSWER>12</ANSWER>'],['<ANSWER>3</ANSWER>'],['<ANSWER>1</ANSWER>'],['<ANSWER>1</ANSWER>'],['<ANSWER>3</ANSWER>'],['<ANSWER>2</ANSWER>'],['<ANSWER>7</ANSWER>'],['<ANSWER>3</ANSWER>'],['<ANSWER>2</ANSWER>'],['<ANSWER>1</ANSWER>'],['<ANSWER>6</ANSWER>'],['<ANSWER>4</ANSWER>'],['<ANSWER>2</ANSWER>'],['<ANSWER>2</ANSWER>']
['<ANSWER>1</ANSWER>'],['<ANSWER>11</ANSWER>'],['<ANSWER>1</ANSWER>'],['<ANSWER>1</ANSWER>'],['<ANSWER>2</ANSWER>'],['<ANSWER>2</ANSWER>'],['<ANSWER>1</ANSWER>'],['<ANSWER>14</ANSWER>'],['<ANSWER>1</ANSWER>'],['<ANSWER>1</ANSWER>'],['<ANSWER>3</ANSWER>'],['<ANSWER>1</ANSWER>'],['<ANSWER>1</ANSWER>'],['<ANSWER>2</ANSWER>'],['<ANSWER>2</ANSWER>'],['<ANSWER>1</ANSWER>'],['<ANSWER>1</ANSWER>'],['<ANSWER>3</ANSWER>'],['<ANSWER>10</ANSWER>'],['<ANSWER>1</ANSWER>'],['<ANSWER>2</ANSWER>'],['<ANSWER>4</ANSWER>'],['<ANSWER>3</ANSWER>'],['<ANSWER>2</ANSWER>'],['<ANSWER>3</ANSWER>'],['<ANSWER>1</ANSWER>'],['<ANSWER>2</ANSWER>'],['<ANSWER>5</ANSWER>'],['<ANSWER>5</ANSWER>'],['<ANSWER>3</ANSWER>'],['<ANSWER>2</ANSWER>'],['<ANSWER>2</ANSWER>']
['<ANSWER>1</ANSWER>'],['<ANSWER>11</ANSWER>'],['<ANSWER>1</ANSWER>'],['<ANSWER>1</ANSWER>'],['<ANSWER>4</ANSWER>'],['<ANSWER>1</ANSWER>'],['<ANSWER>3</ANSWER>'],['<ANSWER>15</ANSWER>'],['<ANSWER>1</ANSWER>'],['<ANSWER>1</ANSWER>'],['<ANSWER>1</ANSWER>'],['<ANSWER>1</ANSWER>'],['<ANSWER>1</ANSWER>'],['<ANSWER>2</ANSWER>'],['<ANSWER>2</ANSWER>'],['<ANSWER>1</ANSWER>'],['<ANSWER>1</ANSWER>'],['<ANSWER>3</ANSWER>'],['<ANSWER>12</ANSWER>'],['<ANSWER>3</ANSWER>'],['<ANSWER>1</ANSWER>'],['<ANSWER>4</ANSWER>'],['<ANSWER>1</ANSWER>'],['<ANSWER>1</ANSWER>'],['<ANSWER>7</ANSWER>'],['<ANSWER>3</ANSWER>'],['<ANSWER>2</ANSWER>'],['<ANSWER>1</ANSWER>'],['<ANSWER>6</ANSWER>'],['<ANSWER>4</ANSWER>'],['<ANSWER>4</ANSWER>'],['<ANSWER>2</ANSWER>']
